iter	Passed	Remaining
282	1277	3237
283	1280	3227
284	1282	3217
285	1284	3207
286	1289	3203
287	1291	3193
288	1294	3185
289	1304	3193
290	1307	3186
291	1310	3178
292	1313	3168
293	1316	3160
294	1320	3156
295	1323	3147
296	1327	3141
297	1334	3143
298	1337	3135
299	1340	3127
300	1342	3118
301	1345	3110
302	1349	3104
303	1353	3097
304	1355	3088
305	1358	3080
306	1362	3076
307	1365	3067
308	1368	3059
309	1371	3052
310	1373	3043
311	1376	3034
312	1379	3027
313	1394	3046
314	1396	3037
315	1399	3029
316	1402	3021
317	1405	3013
318	1407	3004
319	1410	2996
320	1413	2990
321	1415	2981
322	1417	2971
323	1420	2963
324	1423	2957
325	1426	2948
326	1427	2938
327	1429	2928
328	1432	2922
329	1468	2982
330	1470	2972
331	1472	2962
332	1474	2953
333	1477	2946
334	1480	2938
335	1484	2932
336	1486	2923
337	1489	2916
338	1490	2906
339	1492	2897
340	1494	2888
341	1497	2881
342	1499	2872
343	1501	2864
344	1503	2854
345	1506	2846
346	1509	2840
347	1511	2832
348	1513	2823
349	1516	2815
350	1518	2807
351	1520	2798
352	1522	2790
353	1526	2785
354	1529	2778
355	1531	2771
356	1534	2763
357	1536	2755
358	1540	2751
359	1543	2743
360	1545	2735
361	1548	2728
362	1552	2723
363	1554	2715
364	1557	2709
365	1559	2701
366	1574	2714
367	1576	2707
368	1578	2700
369	1582	2695
370	1585	2688
371	1587	2680
372	1590	2673
373	1617	2707
374	1619	2698
375	1621	2690
376	1624	2684
377	1627	2677
378	1629	2669
379	1630	2661
380	1633	2653
381	1634	2645
382	1637	2638
383	1639	2629
384	1641	2621
385	1643	2613
386	1649	2612
387	1651	2605
388	1653	2597
389	1656	2591
390	1659	2584
391	1661	2577
392	1663	2569
393	1666	2563
394	1669	2556
395	1671	2549
396	1673	2541
397	1676	2535
398	1679	2529
399	1680	2521
400	1683	2515
401	1686	2508
402	1689	2502
403	1691	2494
404	1692	2486
405	1694	2479
406	1697	2473
407	1700	2467
408	1702	2460
409	1704	2453
410	1707	2447
411	1711	2442
412	1713	2434
413	1715	2427
414	1717	2421
415	1720	2415
416	1723	2409
417	1725	2402
418	1727	2395
419	1731	2391
420	1733	2384
421	1735	2377
422	1738	2370
423	1741	2366
424	1743	2359
425	1745	2352
426	1747	2345
427	1749	2338
428	1752	2332
429	1754	2325
430	1756	2318
431	1758	2311
432	1759	2304
433	1762	2298
434	1764	2292
435	1766	2285
436	1768	2279
437	1771	2272
438	1773	2266
439	1776	2260
440	1778	2254
441	1780	2247
442	1783	2242
443	1786	2236
444	1788	2230
445	1791	2225
446	1801	2228
447	1803	2222
448	1806	2217
449	1809	2211
450	1811	2204
451	1813	2198
452	1847	2230
453	1850	2225
454	1853	2219
455	1855	2213
456	1857	2207
457	1861	2203
458	1865	2199
459	1868	2193
460	1871	2188
461	1874	2182
462	1876	2176
463	1879	2171
464	1882	2166
465	1884	2159
466	1886	2153
467	1890	2149
468	1904	2156
469	1906	2149
470	1908	2143
471	1910	2137
472	1913	2131
473	1915	2125
474	1916	2118
475	1918	2112
476	1922	2108
477	1925	2102
478	1927	2096
479	1929	2090
480	1931	2084
481	1935	2080
482	1937	2074
483	1940	2068
484	1943	2063
485	1946	2058
486	1948	2052
487	1950	2046
488	1952	2040
489	1956	2036
490	1958	2030
491	1960	2024
492	1963	2019
493	1967	2015
494	1969	2009
495	1972	2004
496	1976	2000
497	1979	1995
498	1981	1989
499	1985	1985
500	1989	1981
501	1993	1977
502	1998	1974
503	2000	1968
504	2003	1963
505	2007	1959
506	2022	1967
507	2025	1962
508	2029	1957
509	2031	1951
510	2033	1946
511	2036	1941
512	2040	1936
513	2042	1931
514	2044	1925
515	2046	1919
516	2048	1914
517	2051	1909
518	2053	1903
519	2056	1898
520	2059	1893
521	2061	1887
522	2063	1882
523	2065	1876
524	2068	1871
525	2071	1866
526	2073	1861
527	2076	1855
528	2078	1850
529	2082	1846
530	2084	1840
531	2086	1835
532	2087	1829
533	2090	1824
534	2092	1819
535	2095	1813
536	2096	1807
537	2099	1802
538	2101	1797
539	2104	1792
540	2106	1787
541	2108	1781
542	2110	1776
543	2112	1771
544	2114	1765
545	2116	1760
546	2118	1754
547	2120	1749
548	2123	1744
549	2125	1739
550	2127	1733
551	2129	1728
552	2132	1723
553	2135	1718
554	2137	1713
555	2139	1708
556	2142	1703
557	2144	1698
558	2146	1693
559	2148	1688
560	2150	1682
561	2152	1677
562	2155	1672
563	2157	1667
564	2159	1662
565	2161	1657
566	2163	1652
567	2166	1647
568	2167	1642
569	2169	1636
570	2171	1631
571	2173	1626
572	2176	1621
573	2179	1617
574	2181	1612
575	2183	1607
576	2185	1602
577	2193	1601
578	2196	1597
579	2198	1592
580	2200	1587
581	2202	1582
582	2205	1577
583	2209	1573
584	2211	1568
585	2213	1563
586	2215	1558
587	2217	1554
588	2220	1549
589	2222	1544
590	2223	1538
591	2225	1533
592	2228	1529
593	2231	1524
594	2233	1520
595	2235	1515
596	2238	1510
597	2241	1506
598	2243	1501
599	2246	1497
600	2249	1493
601	2253	1490
602	2256	1485
603	2259	1481
604	2262	1477
605	2264	1472
606	2266	1467
607	2269	1463
608	2272	1458
609	2274	1454
610	2276	1449
611	2278	1444
612	2281	1440
613	2283	1435
614	2285	1430
615	2287	1426
616	2289	1421
617	2292	1417
618	2294	1412
619	2297	1407
620	2299	1403
621	2302	1399
622	2304	1394
623	2307	1390
624	2309	1385
625	2312	1381
626	2315	1377
627	2317	1372
628	2320	1368
629	2322	1364
630	2325	1359
631	2327	1354
632	2329	1350
633	2331	1346
634	2335	1342
635	2337	1337
636	2339	1333
637	2341	1328
638	2344	1324
639	2347	1320
640	2349	1316
641	2351	1311
642	2355	1307
643	2370	1310
644	2372	1305
645	2374	1301
646	2378	1297
647	2380	1293
648	2382	1288
649	2386	1284
650	2390	1281
651	2393	1277
652	2395	1272
653	2398	1269
654	2401	1264
655	2403	1260
656	2405	1255
657	2409	1252
658	2411	1247
659	2413	1243
660	2416	1239
661	2420	1235
662	2422	1231
663	2424	1226
664	2427	1222
665	2432	1219
666	2434	1215
667	2436	1210
668	2439	1207
669	2444	1204
670	2446	1199
671	2449	1195
672	2459	1195
673	2475	1197
674	2477	1192
675	2479	1188
676	2482	1184
677	2485	1180
678	2487	1175
679	2490	1171
680	2493	1168
681	2496	1164
682	2499	1159
683	2502	1155
684	2510	1154
685	2512	1150
686	2516	1146
687	2518	1142
688	2521	1137
689	2524	1134
690	2540	1136
691	2543	1132
692	2547	1128
693	2550	1124
694	2552	1120
695	2555	1116
696	2558	1112
697	2561	1108
698	2563	1103
699	2567	1100
700	2570	1096
701	2573	1092
702	2576	1088
703	2579	1084
704	2582	1080
705	2584	1076
706	2587	1072
707	2591	1068
708	2593	1064
709	2597	1060
710	2601	1057
711	2603	1053
712	2605	1048
713	2608	1044
714	2612	1041
715	2614	1036
716	2616	1032
717	2620	1029
718	2638	1031
719	2643	1027
720	2645	1023
721	2647	1019
722	2651	1015
723	2655	1012
724	2657	1008
725	2660	1003
726	2663	1000
727	2666	996
728	2668	991
729	2671	988
730	2684	988
731	2686	983
732	2688	979
733	2690	975
734	2693	971
735	2697	967
736	2712	967
737	2714	963
738	2717	959
739	2719	955
740	2721	951
741	2723	946
742	2727	943
743	2729	939
744	2731	934
745	2733	930
746	2735	926
747	2738	922
748	2740	918
749	2743	914
750	2745	910
751	2748	906
752	2751	902
753	2753	898
754	2757	894
755	2785	899
756	2788	895
757	2803	895
758	2805	890
759	2807	886
760	2810	882
761	2816	879
762	2817	875
763	2820	871
764	2823	867
765	2825	863
766	2827	858
767	2830	854
768	2833	851
769	2835	847
770	2838	842
771	2840	838
772	2845	835
773	2847	831
774	2849	827
775	2853	823
776	2859	820
777	2863	816
778	2877	816
779	2880	812
780	2882	808
781	2885	804
782	2887	800
783	2889	796
784	2891	791
785	2907	791
786	2910	787
787	2911	783
788	2914	779
789	2918	775
790	2920	771
791	2922	767
792	2924	763
793	2929	759
794	2931	756
795	2934	752
796	2938	748
797	2952	747
798	2955	743
799	2959	739
800	2963	736
801	2967	732
802	2971	728
803	2973	724
804	2977	721
805	2980	717
806	2982	713
807	2985	709
808	2989	705
809	2995	702
810	3001	699
811	3005	695
812	3007	691
813	3010	687
814	3014	684
815	3018	680
816	3026	677
817	3029	674
818	3046	673
819	3049	669
820	3053	665
821	3057	662
822	3061	658
823	3065	654
824	3067	650
825	3069	646
826	3073	642
827	3076	639
828	3079	635
829	3084	631
830	3090	628
831	3093	624
832	3096	620
833	3099	616
834	3102	613
835	3105	609
836	3109	605
837	3112	601
838	3119	598
839	3124	595
840	3128	591
841	3133	588
842	3136	584
843	3139	580
844	3144	576
845	3147	572
846	3149	568
847	3153	565
848	3158	561
849	3162	558
850	3170	555
851	3173	551
852	3178	547
853	3181	543
854	3186	540
855	3192	537
856	3195	533
857	3199	529
858	3201	525
859	3205	521
860	3208	518
861	3211	514
862	3215	510
863	3219	506
864	3222	502
865	3228	499
866	3233	495
867	3239	492
868	3243	488
869	3251	485
870	3253	481
871	3256	478
872	3261	474
873	3266	470
874	3271	467
875	3275	463
876	3280	460
877	3283	456
878	3286	452
879	3290	448
880	3293	444
881	3296	441
882	3301	437
883	3307	434
884	3312	430
885	3316	426
886	3321	423
887	3326	419
888	3329	415
889	3336	412
890	3339	408
891	3343	404
892	3346	400
893	3348	397
894	3354	393
895	3358	389
896	3360	385
897	3369	382
898	3372	378
899	3378	375
900	3386	372
901	3391	368
902	3396	364
903	3399	360
904	3403	357
905	3410	353
906	3413	349
907	3416	346
908	3421	342
909	3423	338
910	3428	334
911	3431	331
912	3435	327
913	3441	323
914	3444	319
915	3450	316
916	3454	312
917	3463	309
918	3467	305
919	3472	301
920	3475	298
921	3479	294
922	3488	290
923	3492	287
924	3496	283
925	3501	279
926	3507	276
927	3509	272
928	3513	268
929	3516	264
930	3519	260
931	3525	257
932	3529	253
933	3533	249
934	3537	245
935	3540	242
936	3545	238
937	3548	234
938	3551	230
939	3556	227
940	3559	223
941	3562	219
942	3569	215
943	3572	211
944	3575	208
945	3580	204
946	3587	200
947	3589	196
948	3595	193
949	3601	189
950	3605	185
951	3609	182
952	3612	178
953	3619	174
954	3621	170
955	3626	166
956	3629	163
957	3631	159
958	3641	155
959	3643	151
960	3651	148
961	3655	144
962	3660	140
963	3663	136
964	3668	133
965	3674	129
966	3681	125
967	3684	121
968	3686	117
969	3694	114
970	3697	110
971	3704	106
972	3707	102
973	3714	99
974	3717	95
975	3725	91
976	3728	87
977	3731	83
978	3734	80
979	3737	76
980	3740	72
981	3745	68
982	3748	64
983	3750	60
984	3754	57
985	3757	53
986	3759	49
987	3762	45
988	3766	41
989	3768	38
990	3771	34
991	3776	30
992	3778	26
993	3781	22
994	3783	19
995	3787	15
996	3790	11
997	3795	7
998	3798	3
999	3800	0
